ticker_code,stock_code,stock_name,market
1101.TW,1101,台泥,TWSE
1102.TW,1102,亞泥,TWSE
1103.TW,1103,嘉泥,TWSE
1104.TW,1104,環泥,TWSE
1108.TW,1108,幸福,TWSE
1109.TW,1109,信大,TWSE
1110.TW,1110,東泥,TWSE
1201.TW,1201,味全,TWSE
1203.TW,1203,味王,TWSE
1210.TW,1210,大成,TWSE
1213.TW,1213,大飲,TWSE
1215.TW,1215,卜蜂,TWSE
1216.TW,1216,統一,TWSE
1217.TW,1217,愛之味,TWSE
1218.TW,1218,泰山,TWSE
1219.TW,1219,福壽,TWSE
1220.TW,1220,台榮,TWSE
1225.TW,1225,福懋油,TWSE
1227.TW,1227,佳格,TWSE
1229.TW,1229,聯華,TWSE
1231.TW,1231,聯華食,TWSE
1232.TW,1232,大統益,TWSE
1233.TW,1233,天仁,TWSE
1234.TW,1234,黑松,TWSE
1235.TW,1235,興泰,TWSE
1236.TW,1236,宏亞,TWSE
1240.TW,1240,茂生農經,TPEx
1256.TW,1256,鮮活果汁-KY,TWSE
1259.TW,1259,安心,TPEx
1264.TW,1264,德麥,TPEx
1268.TW,1268,漢來美食,TPEx
1294.TW,1294,漢田生技,TPEx
1295.TW,1295,生合,TPEx
1301.TW,1301,台塑,TWSE
1303.TW,1303,南亞,TWSE
1304.TW,1304,台聚,TWSE
1305.TW,1305,華夏,TWSE
1307.TW,1307,三芳,TWSE
1308.TW,1308,亞聚,TWSE
1309.TW,1309,台達化,TWSE
1310.TW,1310,台苯,TWSE
1312.TW,1312,國喬,TWSE
1313.TW,1313,聯成,TWSE
1314.TW,1314,中石化,TWSE
1315.TW,1315,達新,TWSE
1316.TW,1316,上曜,TWSE
1319.TW,1319,東陽,TWSE
1321.TW,1321,大洋,TWSE
1323.TW,1323,永裕,TWSE
1324.TW,1324,地球,TWSE
1325.TW,1325,恆大,TWSE
1326.TW,1326,台化,TWSE
1336.TW,1336,台翰,TPEx
1337.TW,1337,再生-KY,TWSE
1338.TW,1338,廣華-KY,TWSE
1339.TW,1339,昭輝,TWSE
1340.TW,1340,勝悅-KY,TWSE
1341.TW,1341,富林-KY,TWSE
1342.TW,1342,八貫,TWSE
1402.TW,1402,遠東新,TWSE
1409.TW,1409,新纖,TWSE
1410.TW,1410,南染,TWSE
1413.TW,1413,宏洲,TWSE
1414.TW,1414,東和,TWSE
1416.TW,1416,廣豐,TWSE
1417.TW,1417,嘉裕,TWSE
1418.TW,1418,東華,TWSE
1419.TW,1419,新紡,TWSE
1423.TW,1423,利華,TWSE
1432.TW,1432,大魯閣,TWSE
